run_id,started_utc,duration_s,difficulty,map_id,map_seed,team_id,score,rounds_used,items_delivered,orders_completed,replay_file,action_counts_json
20260301_223325,2026-03-01T22:33:25.882171+00:00,30.306,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,36,300,16,4,game_20260301_223325.jsonl,"{""drop_off"": 12, ""move_down"": 239, ""move_left"": 323, ""move_right"": 275, ""move_up"": 259, ""pick_up"": 76, ""wait"": 316}"
20260301_223438,2026-03-01T22:34:38.557187+00:00,16.112,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,99,300,44,11,game_20260301_223438.jsonl,"{""drop_off"": 27, ""move_down"": 283, ""move_left"": 409, ""move_right"": 334, ""move_up"": 298, ""pick_up"": 46, ""wait"": 103}"
20260301_223725,2026-03-01T22:37:25.854628+00:00,16.553,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,3,300,3,0,game_20260301_223725.jsonl,"{""drop_off"": 2, ""move_down"": 266, ""move_left"": 355, ""move_right"": 293, ""move_up"": 285, ""pick_up"": 7, ""wait"": 292}"
20260301_224548,2026-03-01T22:45:48.158853+00:00,16.645,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,71,300,36,7,game_20260301_224548.jsonl,"{""drop_off"": 22, ""move_down"": 440, ""move_left"": 597, ""move_right"": 418, ""move_up"": 490, ""pick_up"": 39, ""wait"": 994}"
20260301_224643,2026-03-01T22:46:43.844169+00:00,36.161,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,2,300,2,0,game_20260301_224643.jsonl,"{""drop_off"": 2, ""move_down"": 502, ""move_left"": 795, ""move_right"": 500, ""move_up"": 639, ""pick_up"": 28, ""wait"": 534}"
20260301_224758,2026-03-01T22:47:58.748032+00:00,21.147,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,30,300,15,3,game_20260301_224758.jsonl,"{""drop_off"": 9, ""move_down"": 532, ""move_left"": 583, ""move_right"": 437, ""move_up"": 472, ""pick_up"": 96, ""wait"": 871}"
20260301_224902,2026-03-01T22:49:02.016765+00:00,36.908,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,31,300,16,3,game_20260301_224902.jsonl,"{""drop_off"": 12, ""move_down"": 272, ""move_left"": 684, ""move_right"": 511, ""move_up"": 337, ""pick_up"": 57, ""wait"": 1127}"
20260301_225104,2026-03-01T22:51:04.303454+00:00,22.673,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,3,300,3,0,game_20260301_225104.jsonl,"{""drop_off"": 2, ""move_down"": 256, ""move_left"": 339, ""move_right"": 289, ""move_up"": 270, ""pick_up"": 7, ""wait"": 337}"
20260301_225157,2026-03-01T22:51:57.008834+00:00,16.206,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,98,300,43,11,game_20260301_225157.jsonl,"{""drop_off"": 27, ""move_down"": 275, ""move_left"": 385, ""move_right"": 311, ""move_up"": 288, ""pick_up"": 45, ""wait"": 169}"
20260301_225426,2026-03-01T22:54:26.767539+00:00,23.768,expert,c7c7f564-2496-4ab1-9179-7532979adcb4,7004,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,60,300,30,6,game_20260301_225426.jsonl,"{""drop_off"": 17, ""move_down"": 429, ""move_left"": 659, ""move_right"": 484, ""move_up"": 475, ""pick_up"": 81, ""wait"": 855}"
20260301_230600,2026-03-01T23:06:00.532483+00:00,18.786,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,2,300,2,0,game_20260301_230600.jsonl,"{""drop_off"": 2, ""move_down"": 137, ""move_left"": 205, ""move_right"": 189, ""move_up"": 230, ""pick_up"": 88, ""wait"": 49}"
20260301_230851,2026-03-01T23:08:51.923951+00:00,15.951,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_230851.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_230941,2026-03-01T23:09:41.311223+00:00,16.317,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_230941.jsonl,"{""drop_off"": 25, ""move_down"": 221, ""move_left"": 192, ""move_right"": 158, ""move_up"": 222, ""pick_up"": 54, ""wait"": 28}"
20260301_231029,2026-03-01T23:10:29.963898+00:00,16.422,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_231029.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_231108,2026-03-01T23:11:08.162602+00:00,21.379,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,35,300,15,4,game_20260301_231108.jsonl,"{""drop_off"": 9, ""move_down"": 78, ""move_left"": 262, ""move_right"": 237, ""move_up"": 147, ""pick_up"": 83, ""wait"": 84}"
